Text,Case_Folding,Cleaning_Text,Normalisasi_Text,Formalisasi_Text,Remove_Text,Stemming_Text,Tokenize_Text,Processed_Text,Polarity Score,Labels
"pengawalan demokrasi dapat menjadi dorongan besar bagi kesadaran kolektif akan pentingnya transparansi, kejujuran, dan keadilan dalam proses politik #arsjadrasjid #pemilu2024 #inklusifkolaboratif ketua kadin","pengawalan demokrasi dapat menjadi dorongan besar bagi kesadaran kolektif akan pentingnya transparansi, kejujuran, dan keadilan dalam proses politik #arsjadrasjid #pemilu2024 #inklusifkolaboratif ketua kadin",pengawalan demokrasi dapat menjadi dorongan besar bagi kesadaran kolektif akan pentingnya transparansi kejujuran dan keadilan dalam proses politik    ketua kadin,pengawalan demokrasi dapat menjadi dorongan besar bagi kesadaran kolektif akan pentingnya transparansi kejujuran dan keadilan dalam proses politik ketua kadin,pengawalan demokrasi dapat menjadi dorongan besar bagi kesadaran kolektif akan pentingnya transparansi kejujuran dan keadilan dalam proses politik ketua kadin,pengawalan demokrasi dorongan kesadaran kolektif transparansi kejujuran keadilan proses politik ketua kadin,awal demokrasi dorong sadar kolektif transparansi jujur adil proses politik ketua kadin,"['awal', 'demokrasi', 'dorong', 'sadar', 'kolektif', 'transparansi', 'jujur', 'adil', 'proses', 'politik', 'ketua', 'kadin']",awal demokrasi dorong sadar kolektif transparansi jujur adil proses politik ketua kadin,14,Positive
"Mari jaga tahun politik ini tanpa isu SARA dan hoaks
#Pemilu2024 
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju","mari jaga tahun politik ini tanpa isu sara dan hoaks
#pemilu2024 
#pemiludamai2024
#pemiludamainegerimaju
#pemilu2024bebashoaks
#pemilu2024menujuindonesiamaju",mari jaga tahun politik ini tanpa isu sara dan hoaks      ,mari jaga tahun politik ini tanpa isu sara dan hoaks,mari jaga tahun politik ini tanpa isu sara dan hoaks,mari jaga politik sara hoaks,mari jaga politik sara hoaks,"['mari', 'jaga', 'politik', 'sara', 'hoaks']",mari jaga politik sara hoaks,2,Positive
"*Majelis Adat Aceh Ajak Semua Pihak Kembali Bersatu Usai Pemilu 2024*

Jakarta - Majelis Adat Aceh (MAA) mengajak seluruh komponen masyarakat untuk kembali bersatu seiring selesainya pemungutan suara pada Pemilihan Umum (Pemilu) 2024.","*majelis adat aceh ajak semua pihak kembali bersatu usai pemilu 2024*

jakarta - majelis adat aceh (maa) mengajak seluruh komponen masyarakat untuk kembali bersatu seiring selesainya pemungutan suara pada pemilihan umum (pemilu) 2024.", majelis adat aceh ajak semua pihak kembali bersatu usai pemilu  jakarta  majelis adat aceh maa mengajak seluruh komponen masyarakat untuk kembali bersatu seiring selesainya pemungutan suara pada pemilihan umum pemilu  ,majelis adat aceh ajak semua pihak kembali bersatu usai pemilu jakarta majelis adat aceh maa mengajak seluruh komponen masyarakat untuk kembali bersatu seiring selesainya pemungutan suara pada pemilihan umum pemilu,majelis adat aceh ajak semua pihak kembali bersatu usai pemilu jakarta majelis adat aceh maa mengajak seluruh komponen masyarakat untuk kembali bersatu seiring selesainya pemungutan suara pada pemilihan umum pemilu,majelis adat aceh ajak bersatu pemilu jakarta majelis adat aceh mengajak komponen masyarakat bersatu seiring selesainya pemungutan suara pemilihan pemilu,majelis adat aceh ajak satu pemilu jakarta majelis adat aceh ajak komponen masyarakat satu iring selesai mungut suara pilih pemilu,"['majelis', 'adat', 'aceh', 'ajak', 'satu', 'pemilu', 'jakarta', 'majelis', 'adat', 'aceh', 'ajak', 'komponen', 'masyarakat', 'satu', 'iring', 'selesai', 'mungut', 'suara', 'pilih', 'pemilu']",majelis adat aceh ajak satu pemilu jakarta majelis adat aceh ajak komponen masyarakat satu iring selesai mungut suara pilih pemilu,8,Positive
Mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam Pemilu 2024. Hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif.,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu 2024. hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif.,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu  hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif ,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif,mari ciptakan kondisi aman damai pascapemungutan suara pemilu hormati proses perhitungan suara berjalan lancar kondusif,mari cipta kondisi aman damai pascapemungutan suara pemilu hormat proses hitung suara jalan lancar kondusif,"['mari', 'cipta', 'kondisi', 'aman', 'damai', 'pascapemungutan', 'suara', 'pemilu', 'hormat', 'proses', 'hitung', 'suara', 'jalan', 'lancar', 'kondusif']",mari cipta kondisi aman damai pascapemungutan suara pemilu hormat proses hitung suara jalan lancar kondusif,14,Positive
"Polisi mengungkapkan kasus pembacokan terhadap seorang Ketua KPPS pada pemungutan suara pemilu 2024 di Kabupaten Tabalong bukanlah karena perkara uang.

#sekataid #bikintau #infotabalong

https://sekata.id/bukan-perkara-uang-ternyata-ini-alasan-pelaku-bacok-ketua-kpps-di-tabalong/…","polisi mengungkapkan kasus pembacokan terhadap seorang ketua kpps pada pemungutan suara pemilu 2024 di kabupaten tabalong bukanlah karena perkara uang.

#sekataid #bikintau #infotabalong

https://sekata.id/bukan-perkara-uang-ternyata-ini-alasan-pelaku-bacok-ketua-kpps-di-tabalong/…",polisi mengungkapkan kasus pembacokan terhadap seorang ketua kpps pada pemungutan suara pemilu di kabupaten tabalong bukanlah karena perkara uang     https  sekata id bukan perkara uang ternyata ini alasan pelaku bacok ketua kpps di tabalong ,polisi mengungkapkan kasus pembacokan terhadap seorang ketua kpps pada pemungutan suara pemilu di kabupaten tabalong bukanlah karena perkara uang https sekata id bukan perkara uang ternyata ini alasan pelaku bacok ketua kpps di tabalong,polisi mengungkapkan kasus pembacokan terhadap seorang ketua kpps pada pemungutan suara pemilu di kabupaten tabalong bukanlah karena perkara uang https sekata id bukan perkara uang ternyata ini alasan pelaku bacok ketua kpps di tabalong,polisi pembacokan ketua kpps pemungutan suara pemilu kabupaten tabalong perkara uang https sekata id perkara uang alasan pelaku bacok ketua kpps tabalong,polisi baco ketua kpps mungut suara pemilu kabupaten tabalong perkara uang https sekata id perkara uang alas laku bacok ketua kpps tabalong,"['polisi', 'baco', 'ketua', 'kpps', 'mungut', 'suara', 'pemilu', 'kabupaten', 'tabalong', 'perkara', 'uang', 'https', 'sekata', 'id', 'perkara', 'uang', 'alas', 'laku', 'bacok', 'ketua', 'kpps', 'tabalong']",polisi baco ketua kpps mungut suara pemilu kabupaten tabalong perkara uang https sekata id perkara uang alas laku bacok ketua kpps tabalong,-9,Negative
Mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam Pemilu 2024. Hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif.,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu 2024. hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif.,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu  hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif ,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif,mari kita ciptakan kondisi yang aman dan damai pascapemungutan suara dalam pemilu hormati proses perhitungan suara yang sedang berlangsung agar berjalan lancar dan kondusif,mari ciptakan kondisi aman damai pascapemungutan suara pemilu hormati proses perhitungan suara berjalan lancar kondusif,mari cipta kondisi aman damai pascapemungutan suara pemilu hormat proses hitung suara jalan lancar kondusif,"['mari', 'cipta', 'kondisi', 'aman', 'damai', 'pascapemungutan', 'suara', 'pemilu', 'hormat', 'proses', 'hitung', 'suara', 'jalan', 'lancar', 'kondusif']",mari cipta kondisi aman damai pascapemungutan suara pemilu hormat proses hitung suara jalan lancar kondusif,14,Positive
Petugas Kelompok Penyelenggara Pemungutan Suara di Malang dan Probolinggo meninggal usai bertugas dalam Pemilu 2024. #Nusantara #AdadiKompas,petugas kelompok penyelenggara pemungutan suara di malang dan probolinggo meninggal usai bertugas dalam pemilu 2024. #nusantara #adadikompas,petugas kelompok penyelenggara pemungutan suara di malang dan probolinggo meninggal usai bertugas dalam pemilu   ,petugas kelompok penyelenggara pemungutan suara di malang dan probolinggo meninggal usai bertugas dalam pemilu,petugas kelompok penyelenggara pemungutan suara di malang dan probolinggo meninggal usai bertugas dalam pemilu,petugas kelompok penyelenggara pemungutan suara malang probolinggo meninggal bertugas pemilu,tugas kelompok selenggara mungut suara malang probolinggo tinggal tugas pemilu,"['tugas', 'kelompok', 'selenggara', 'mungut', 'suara', 'malang', 'probolinggo', 'tinggal', 'tugas', 'pemilu']",tugas kelompok selenggara mungut suara malang probolinggo tinggal tugas pemilu,-8,Negative
"Viral video petugas polisi terombang-ambing di tengah laut antara pulau di Kabupaten Nias Selatan, Sumatra Utara, saat mengawal kotak suara. KPJ

Selengkapnya:
https://youtu.be/qgKkwPsWzAI

#GTVNews #GTV #News #Viral #Polisi #Pemilu2024 #SuratSuara #NiasSelatan #SumatraUtara","viral video petugas polisi terombang-ambing di tengah laut antara pulau di kabupaten nias selatan, sumatra utara, saat mengawal kotak suara. kpj

selengkapnya:
https://youtu.be/qgkkwpswzai

#gtvnews #gtv #news #viral #polisi #pemilu2024 #suratsuara #niasselatan #sumatrautara",viral video petugas polisi terombang ambing di tengah laut antara pulau di kabupaten nias selatan sumatra utara saat mengawal kotak suara kpj selengkapnya https  youtu be qgkkwpswzai          ,viral video petugas polisi terombang ambing di tengah laut antara pulau di kabupaten nias selatan sumatra utara saat mengawal kotak suara kpj selengkapnya https youtu be qgkkwpswzai,viral video petugas polisi terombang ambing di tengah laut antara pulau di kabupaten nias selatan sumatra utara saat mengawal kotak suara kpj selengkapnya https youtu be qgkkwpswzai,viral video petugas polisi terombang ambing laut pulau kabupaten nias selatan sumatra utara mengawal kotak suara kpj selengkapnya https youtu qgkkwpswzai,viral video tugas polisi terombang ambing laut pulau kabupaten nias selatan sumatra utara awal kotak suara kpj lengkap https youtu qgkkwpswzai,"['viral', 'video', 'tugas', 'polisi', 'terombang', 'ambing', 'laut', 'pulau', 'kabupaten', 'nias', 'selatan', 'sumatra', 'utara', 'awal', 'kotak', 'suara', 'kpj', 'lengkap', 'https', 'youtu', 'qgkkwpswzai']",viral video tugas polisi terombang ambing laut pulau kabupaten nias selatan sumatra utara awal kotak suara kpj lengkap https youtu qgkkwpswzai,2,Positive
"Dengan berjuang bersama, Pak arsjad yakin kebebasan demokrasi di Indonesia akan tetap bisa ditegakkan #arsjadrasjid #pemilu2024 #inklusifkolaboratif ketua kadin","dengan berjuang bersama, pak arsjad yakin kebebasan demokrasi di indonesia akan tetap bisa ditegakkan #arsjadrasjid #pemilu2024 #inklusifkolaboratif ketua kadin",dengan berjuang bersama pak arsjad yakin kebebasan demokrasi di indonesia akan tetap bisa ditegakkan    ketua kadin,dengan berjuang bersama pak arsjad yakin kebebasan demokrasi di indonesia akan tetap bisa ditegakkan ketua kadin,dengan berjuang bersama pak arsjad yakin kebebasan demokrasi di indonesia akan tetap bisa ditegakkan ketua kadin,berjuang arsjad kebebasan demokrasi indonesia ditegakkan ketua kadin,juang arsjad bebas demokrasi indonesia tegak ketua kadin,"['juang', 'arsjad', 'bebas', 'demokrasi', 'indonesia', 'tegak', 'ketua', 'kadin']",juang arsjad bebas demokrasi indonesia tegak ketua kadin,-1,Negative
"Kecewa Boleh, Marah Jangan.
Quick Count 
#Pilpres2024
#Pemilu2024","kecewa boleh, marah jangan.
quick count 
#pilpres2024
#pemilu2024",kecewa boleh marah jangan quick count   ,kecewa boleh marah jangan quick count,kecewa boleh marah jangan quick count,kecewa marah quick count,kecewa marah quick count,"['kecewa', 'marah', 'quick', 'count']",kecewa marah quick count,-5,Negative
"Anies Baswedan menyerukan agar masyarakat mendokumentasikan setiap ketidaknormalan dalam proses pemilu. Lalu, melaporkannya ke Tim Hukum Nasional Timnas AMIN.

#Pemilu2024 #Pilpres2024 #aniesbaswedan","anies baswedan menyerukan agar masyarakat mendokumentasikan setiap ketidaknormalan dalam proses pemilu. lalu, melaporkannya ke tim hukum nasional timnas amin.

#pemilu2024 #pilpres2024 #aniesbaswedan",anies baswedan menyerukan agar masyarakat mendokumentasikan setiap ketidaknormalan dalam proses pemilu lalu melaporkannya ke tim hukum nasional timnas amin    ,anies baswedan menyerukan agar masyarakat mendokumentasikan setiap ketidaknormalan dalam proses pemilu lalu melaporkannya ke tim hukum nasional timnas amin,anies baswedan menyerukan agar masyarakat mendokumentasikan setiap ketidaknormalan dalam proses pemilu lalu melaporkannya ke tim hukum nasional timnas amin,anies baswedan menyerukan masyarakat mendokumentasikan ketidaknormalan proses pemilu melaporkannya hukum nasional timnas amin,anies baswedan seru masyarakat dokumentasi ketidaknormalan proses pemilu lapor hukum nasional timnas amin,"['anies', 'baswedan', 'seru', 'masyarakat', 'dokumentasi', 'ketidaknormalan', 'proses', 'pemilu', 'lapor', 'hukum', 'nasional', 'timnas', 'amin']",anies baswedan seru masyarakat dokumentasi ketidaknormalan proses pemilu lapor hukum nasional timnas amin,14,Positive
Satuan samapta Polres MBD tingkatkan Patroli Cipta Kondisi Pasca Perhitungan Suara Pemilu Pilpres dan Pileg 2024,satuan samapta polres mbd tingkatkan patroli cipta kondisi pasca perhitungan suara pemilu pilpres dan pileg 2024,satuan samapta polres mbd tingkatkan patroli cipta kondisi pasca perhitungan suara pemilu pilpres dan pileg ,satuan samapta polres mbd tingkatkan patroli cipta kondisi pasca perhitungan suara pemilu pilpres dan pileg,satuan samapta polres mbd tingkatkan patroli cipta kondisi pasca perhitungan suara pemilu pilpres dan pileg,satuan samapta polres mbd tingkatkan patroli cipta kondisi pasca perhitungan suara pemilu pilpres pileg,satu samapta polres mbd tingkat patroli cipta kondisi pasca hitung suara pemilu pilpres pileg,"['satu', 'samapta', 'polres', 'mbd', 'tingkat', 'patroli', 'cipta', 'kondisi', 'pasca', 'hitung', 'suara', 'pemilu', 'pilpres', 'pileg']",satu samapta polres mbd tingkat patroli cipta kondisi pasca hitung suara pemilu pilpres pileg,9,Positive
"Ini sebagian kecil bukti dari jambi, bayangkan berapa TPS yang ada di indonesia dan di luar negeri capek2 masyarakat ngantri dan menghabiskan uang negara akhirnya seperti ini, kenapa tidak di lantik aja langsung
#Pemilu2024 #Jokowi #Prabowo #GibranRakabuming #Jambi","ini sebagian kecil bukti dari jambi, bayangkan berapa tps yang ada di indonesia dan di luar negeri capek2 masyarakat ngantri dan menghabiskan uang negara akhirnya seperti ini, kenapa tidak di lantik aja langsung
#pemilu2024 #jokowi #prabowo #gibranrakabuming #jambi",ini sebagian kecil bukti dari jambi bayangkan berapa tps yang ada di indonesia dan di luar negeri capek masyarakat ngantri dan menghabiskan uang negara akhirnya seperti ini kenapa tidak di lantik aja langsung     ,ini sebagian kecil bukti dari jambi bayangkan berapa tps yang ada di indonesia dan di luar negeri lelah masyarakat ngantri dan menghabiskan uang negara akhirnya seperti ini kenapa tidak di lantik saja  langsung,ini sebagian kecil bukti dari jambi bayangkan berapa tps yang ada di indonesia dan di luar negeri lelah masyarakat ngantri dan menghabiskan uang negara akhirnya seperti ini kenapa tidak di lantik saja langsung,bukti jambi bayangkan indonesia negeri lelah masyarakat ngantri menghabiskan uang negara lantik langsung,bukti jambi bayang indonesia negeri lelah masyarakat ngantri habis uang negara lantik langsung,"['bukti', 'jambi', 'bayang', 'indonesia', 'negeri', 'lelah', 'masyarakat', 'ngantri', 'habis', 'uang', 'negara', 'lantik', 'langsung']",bukti jambi bayang indonesia negeri lelah masyarakat ngantri habis uang negara lantik langsung,12,Positive
"Timnas AMIN Beberkan 3 Dugaan Kecurangan Pemilu 2024 yang di klaim lebih dahsyat kecurangannya dari pemilu2 sebelumnya terutama yg paling di soroti adlah soal penggelembungan suara di Sirekap KPU..

#AMINMenang ","timnas amin beberkan 3 dugaan kecurangan pemilu 2024 yang di klaim lebih dahsyat kecurangannya dari pemilu2 sebelumnya terutama yg paling di soroti adlah soal penggelembungan suara di sirekap kpu..

#aminmenang",timnas amin beberkan dugaan kecurangan pemilu yang di klaim lebih dahsyat kecurangannya dari pemilu sebelumnya terutama yg paling di soroti adlah soal penggelembungan suara di sirekap kpu   ,timnas amin beberkan dugaan kecurangan pemilu yang di klaim lebih dahsyat kecurangannya dari pemilu sebelumnya terutama yang  paling di soroti adlah soal penggelembungan suara di sirekap kpu,timnas amin beberkan dugaan kecurangan pemilu yang di klaim lebih dahsyat kecurangannya dari pemilu sebelumnya terutama yang paling di soroti adlah soal penggelembungan suara di sirekap kpu,timnas amin beberkan dugaan kecurangan pemilu klaim dahsyat kecurangannya pemilu soroti adlah penggelembungan suara sirekap,timnas amin kan duga curang pemilu klaim dahsyat curang pemilu sorot adlah gelembung suara sirekap,"['timnas', 'amin', 'kan', 'duga', 'curang', 'pemilu', 'klaim', 'dahsyat', 'curang', 'pemilu', 'sorot', 'adlah', 'gelembung', 'suara', 'sirekap']",timnas amin kan duga curang pemilu klaim dahsyat curang pemilu sorot adlah gelembung suara sirekap,0,Neutral
"Pemilu 2024 mencerminkan kesadaran politik yang matang di Indonesia, dengan antusiasme pemilih yang tinggi baik di dalam maupun luar negeri. 

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju","pemilu 2024 mencerminkan kesadaran politik yang matang di indonesia, dengan antusiasme pemilih yang tinggi baik di dalam maupun luar negeri. 

#pemilu2024
#pemiludamai2024
#pemiludamainegerimaju
#pemilu2024bebashoaks
#pemilu2024menujuindonesiamaju",pemilu mencerminkan kesadaran politik yang matang di indonesia dengan antusiasme pemilih yang tinggi baik di dalam maupun luar negeri       ,pemilu mencerminkan kesadaran politik yang matang di indonesia dengan antusiasme pemilih yang tinggi baik di dalam maupun luar negeri,pemilu mencerminkan kesadaran politik yang matang di indonesia dengan antusiasme pemilih yang tinggi baik di dalam maupun luar negeri,pemilu mencerminkan kesadaran politik matang indonesia antusiasme pemilih negeri,pemilu cermin sadar politik matang indonesia antusiasme pilih negeri,"['pemilu', 'cermin', 'sadar', 'politik', 'matang', 'indonesia', 'antusiasme', 'pilih', 'negeri']",pemilu cermin sadar politik matang indonesia antusiasme pilih negeri,5,Positive
"Aparat Keamanan siap untuk menjaga penyelenggaraan Pemilu 2024 di Papua sehingga masyarakat Papua dapat memberikan hak suaranya dengan aman di TPS terdekat. 
#papuaindonesia #pemilupapua #pemilupapuadamai #Papuabangkit #papuadamai #Papuakondusif.","aparat keamanan siap untuk menjaga penyelenggaraan pemilu 2024 di papua sehingga masyarakat papua dapat memberikan hak suaranya dengan aman di tps terdekat. 
#papuaindonesia #pemilupapua #pemilupapuadamai #papuabangkit #papuadamai #papuakondusif.",aparat keamanan siap untuk menjaga penyelenggaraan pemilu di papua sehingga masyarakat papua dapat memberikan hak suaranya dengan aman di tps terdekat        ,aparat keamanan siap untuk menjaga penyelenggaraan pemilu di papua sehingga masyarakat papua dapat memberikan hak suaranya dengan aman di tps terdekat,aparat keamanan siap untuk menjaga penyelenggaraan pemilu di papua sehingga masyarakat papua dapat memberikan hak suaranya dengan aman di tps terdekat,aparat keamanan menjaga penyelenggaraan pemilu papua masyarakat papua suaranya aman terdekat,aparat aman jaga selenggara pemilu papua masyarakat papua suara aman dekat,"['aparat', 'aman', 'jaga', 'selenggara', 'pemilu', 'papua', 'masyarakat', 'papua', 'suara', 'aman', 'dekat']",aparat aman jaga selenggara pemilu papua masyarakat papua suara aman dekat,5,Positive
Kodim 1015/Sampit Bersama Polres Kotim Laksanakan Patroli Pasca Pemilu 2024,kodim 1015/sampit bersama polres kotim laksanakan patroli pasca pemilu 2024,kodim sampit bersama polres kotim laksanakan patroli pasca pemilu ,kodim sampit bersama polres kotim laksanakan patroli pasca pemilu,kodim sampit bersama polres kotim laksanakan patroli pasca pemilu,kodim sampit polres kotim laksanakan patroli pasca pemilu,kodim sampit polres kotim laksana patroli pasca pemilu,"['kodim', 'sampit', 'polres', 'kotim', 'laksana', 'patroli', 'pasca', 'pemilu']",kodim sampit polres kotim laksana patroli pasca pemilu,2,Positive
"Personil Polres Karangasem Iptu I Putu Agustina S.H., melaksanakan Diskusi dengan Tokoh masyarakat Sekda Karangasem I Ketut Sedana Merta, S.T., M.T., mengajak Bersama sama menjaga situasi Kamtibmas Daerah Hukum Kabupaten Karangasem pasca Pemilu 2024.","personil polres karangasem iptu i putu agustina s.h., melaksanakan diskusi dengan tokoh masyarakat sekda karangasem i ketut sedana merta, s.t., m.t., mengajak bersama sama menjaga situasi kamtibmas daerah hukum kabupaten karangasem pasca pemilu 2024.",personil polres karangasem iptu i putu agustina s h  melaksanakan diskusi dengan tokoh masyarakat sekda karangasem i ketut sedana merta s t  m t  mengajak bersama sama menjaga situasi kamtibmas daerah hukum kabupaten karangasem pasca pemilu ,personil polres karangasem iptu i putu agustina s h melaksanakan diskusi dengan tokoh masyarakat sekda karangasem i ketut sedana merta s t m t mengajak bersama sama menjaga situasi kamtibmas daerah hukum kabupaten karangasem pasca pemilu,personil polres karangasem iptu i putu agustina s h melaksanakan diskusi dengan tokoh masyarakat sekda karangasem i ketut sedana merta s t m t mengajak bersama sama menjaga situasi kamtibmas daerah hukum kabupaten karangasem pasca pemilu,personil polres karangasem iptu putu agustina melaksanakan diskusi tokoh masyarakat sekda karangasem ketut sedana merta mengajak menjaga situasi kamtibmas daerah hukum kabupaten karangasem pasca pemilu,personil polres karangasem iptu putu agustina laksana diskusi tokoh masyarakat sekda karangasem ketut dana merta ajak jaga situasi kamtibmas daerah hukum kabupaten karangasem pasca pemilu,"['personil', 'polres', 'karangasem', 'iptu', 'putu', 'agustina', 'laksana', 'diskusi', 'tokoh', 'masyarakat', 'sekda', 'karangasem', 'ketut', 'dana', 'merta', 'ajak', 'jaga', 'situasi', 'kamtibmas', 'daerah', 'hukum', 'kabupaten', 'karangasem', 'pasca', 'pemilu']",personil polres karangasem iptu putu agustina laksana diskusi tokoh masyarakat sekda karangasem ketut dana merta ajak jaga situasi kamtibmas daerah hukum kabupaten karangasem pasca pemilu,10,Positive
"http://Tribratanews.kaltim.polri.go.id, Balikpapan – Polda Kaltim bersama Komnas HAM lakukan koordinasi pemantauan penyelenggaraan Pemilu serentak 2024 di ruang kerja Wakapolda, Jumat (16/2/2024).","http://tribratanews.kaltim.polri.go.id, balikpapan – polda kaltim bersama komnas ham lakukan koordinasi pemantauan penyelenggaraan pemilu serentak 2024 di ruang kerja wakapolda, jumat (16/2/2024).", balikpapan  polda kaltim bersama komnas ham lakukan koordinasi pemantauan penyelenggaraan pemilu serentak di ruang kerja wakapolda jumat   ,balikpapan polda kaltim bersama komnas ham lakukan koordinasi pemantauan penyelenggaraan pemilu serentak di ruang kerja wakapolda jumat,balikpapan polda kaltim bersama komnas ham lakukan koordinasi pemantauan penyelenggaraan pemilu serentak di ruang kerja wakapolda jumat,balikpapan polda kaltim komnas lakukan koordinasi pemantauan penyelenggaraan pemilu serentak ruang kerja wakapolda jumat,balikpapan polda kaltim komnas laku koordinasi pantau selenggara pemilu serentak ruang kerja wakapolda jumat,"['balikpapan', 'polda', 'kaltim', 'komnas', 'laku', 'koordinasi', 'pantau', 'selenggara', 'pemilu', 'serentak', 'ruang', 'kerja', 'wakapolda', 'jumat']",balikpapan polda kaltim komnas laku koordinasi pantau selenggara pemilu serentak ruang kerja wakapolda jumat,10,Positive
"Kepala Kepolisian Resor Kediri Kota beserta Staf  dan jajaran mengucapkan ""Terimakasih Warga Kota Kediri"" Atas Dukungan Dan Kerjasamanya Dalam Mewujudkan Situasi Kamtibmas Yang Kondusif Diwilayah Hukum Polres Kediri Kota Sehingga Proses Pemungutan Suara Pemilu 2024","kepala kepolisian resor kediri kota beserta staf  dan jajaran mengucapkan ""terimakasih warga kota kediri"" atas dukungan dan kerjasamanya dalam mewujudkan situasi kamtibmas yang kondusif diwilayah hukum polres kediri kota sehingga proses pemungutan suara pemilu 2024",kepala kepolisian resor kediri kota beserta staf dan jajaran mengucapkan terimakasih warga kota kediri atas dukungan dan kerjasamanya dalam mewujudkan situasi kamtibmas yang kondusif diwilayah hukum polres kediri kota sehingga proses pemungutan suara pemilu ,kepala kepolisian resor kediri kota beserta staf dan jajaran mengucapkan terimakasih warga kota kediri atas dukungan dan kerjasamanya dalam mewujudkan situasi kamtibmas yang kondusif diwilayah hukum polres kediri kota sehingga proses pemungutan suara pemilu,kepala kepolisian resor kediri kota beserta staf dan jajaran mengucapkan terimakasih warga kota kediri atas dukungan dan kerjasamanya dalam mewujudkan situasi kamtibmas yang kondusif diwilayah hukum polres kediri kota sehingga proses pemungutan suara pemilu,kepala kepolisian resor kediri kota beserta staf jajaran terimakasih warga kota kediri dukungan kerjasamanya mewujudkan situasi kamtibmas kondusif diwilayah hukum polres kediri kota proses pemungutan suara pemilu,kepala polisi resor diri kota serta staf jajar terimakasih warga kota diri dukung kerjasamanya wujud situasi kamtibmas kondusif wilayah hukum polres diri kota proses mungut suara pemilu,"['kepala', 'polisi', 'resor', 'diri', 'kota', 'serta', 'staf', 'jajar', 'terimakasih', 'warga', 'kota', 'diri', 'dukung', 'kerjasamanya', 'wujud', 'situasi', 'kamtibmas', 'kondusif', 'wilayah', 'hukum', 'polres', 'diri', 'kota', 'proses', 'mungut', 'suara', 'pemilu']",kepala polisi resor diri kota serta staf jajar terimakasih warga kota diri dukung kerjasamanya wujud situasi kamtibmas kondusif wilayah hukum polres diri kota proses mungut suara pemilu,11,Positive
"Aktivis '98 Minta Timses Capres Tak Asal Tuduh Main Curang 
#Aktivis98 #Aktivis1998 #Capres #Cawapres #Pemilu2024 #Pilpres2024 #RMOL","aktivis '98 minta timses capres tak asal tuduh main curang 
#aktivis98 #aktivis1998 #capres #cawapres #pemilu2024 #pilpres2024 #rmol",aktivis  minta timses capres tak asal tuduh main curang        ,aktivis minta timses capres tak asal tuduh main curang,aktivis minta timses capres tak asal tuduh main curang,aktivis timses capres tuduh main curang,aktivis timses capres tuduh main curang,"['aktivis', 'timses', 'capres', 'tuduh', 'main', 'curang']",aktivis timses capres tuduh main curang,-3,Negative
